ACCOUNT,GL_L1,GL_L2,GL_L3,ITFM_CATEGORY
550003,01. Total Employee Costs,03. Social Security,Asociación Solidarista,02 - Other Employee Benefits & Costs
550004,01. Total Employee Costs,03. Social Security,Devolucion Impuesto,02 - Other Employee Benefits & Costs
550005,01. Total Employee Costs,03. Social Security,Maternal Indemnity,02 - Other Employee Benefits & Costs
550001,01. Total Employee Costs,04. Other Employee Costs,Stock options,02 - Other Employee Benefits & Costs
550701,01. Total Employee Costs,04. Other Employee Costs,Stock options,02 - Other Employee Benefits & Costs
551000,01. Total Employee Costs,04. Other Employee Costs,Employee Benefit Costs,02 - Other Employee Benefits & Costs
552000,01. Total Employee Costs,04. Other Employee Costs,Pension Costs,02 - Other Employee Benefits & Costs
553000,01. Total Employee Costs,04. Other Employee Costs,Pension Costs - Corporate Co,02 - Other Employee Benefits & Costs
553500,01. Total Employee Costs,04. Other Employee Costs,Pension Costs - Corporate Co,02 - Other Employee Benefits & Costs
553502,01. Total Employee Costs,04. Other Employee Costs,PLAN 29,02 - Other Employee Benefits & Costs
553505,01. Total Employee Costs,04. Other Employee Costs,GRSP,02 - Other Employee Benefits & Costs
553510,01. Total Employee Costs,04. Other Employee Costs,Pension Trust Funding,02 - Other Employee Benefits & Costs
553511,01. Total Employee Costs,04. Other Employee Costs,PENSION FUND 98 FOREIGN,02 - Other Employee Benefits & Costs
554001,01. Total Employee Costs,04. Other Employee Costs,PENSION FUND 98 FOREIGN,02 - Other Employee Benefits & Costs
554002,01. Total Employee Costs,04. Other Employee Costs,SERP DFFI,02 - Other Employee Benefits & Costs
556001,01. Total Employee Costs,04. Other Employee Costs,PENSION TRUST SAVINGS,02 - Other Employee Benefits & Costs
557000,01. Total Employee Costs,04. Other Employee Costs,Severance Pymts,02 - Other Employee Benefits & Costs
557001,01. Total Employee Costs,04. Other Employee Costs,Severance Pymts,02 - Other Employee Benefits & Costs
557002,01. Total Employee Costs,04. Other Employee Costs,Severance Non Deductible,NO IDENTIFICADO
557051,01. Total Employee Costs,04. Other Employee Costs,SEVERENCE INDEMNITY,02 - Other Employee Benefits & Costs
558000,01. Total Employee Costs,04. Other Employee Costs,Deferred Compensation,02 - Other Employee Benefits & Costs
559000,01. Total Employee Costs,04. Other Employee Costs,Deferred Compensation - 401(k),02 - Other Employee Benefits & Costs
559005,01. Total Employee Costs,04. Other Employee Costs,GRSP,02 - Other Employee Benefits & Costs
559006,01. Total Employee Costs,04. Other Employee Costs,GRSP BASIC RATE,02 - Other Employee Benefits & Costs
559011,01. Total Employee Costs,04. Other Employee Costs,401K PLAN,02 - Other Employee Benefits & Costs
560000,01. Total Employee Costs,04. Other Employee Costs,Othr Def Comp Programs,02 - Other Employee Benefits & Costs
560001,01. Total Employee Costs,04. Other Employee Costs,excess saving plan,02 - Other Employee Benefits & Costs
561000,01. Total Employee Costs,04. Other Employee Costs,Postretirement Benefit Costs,02 - Other Employee Benefits & Costs
561031,01. Total Employee Costs,04. Other Employee Costs,ACTIVE POST-RETMT MED,02 - Other Employee Benefits & Costs
562000,01. Total Employee Costs,04. Other Employee Costs,Employee Insurance Expense,02 - Other Employee Benefits & Costs
563000,01. Total Employee Costs,04. Other Employee Costs,Medical and Dental Insurance,02 - Other Employee Benefits & Costs
563500,01. Total Employee Costs,04. Other Employee Costs,Medical Insurance Expense,02 - Other Employee Benefits & Costs
563523,01. Total Employee Costs,04. Other Employee Costs,GROUP MEDICAL,02 - Other Employee Benefits & Costs
563528,01. Total Employee Costs,04. Other Employee Costs,Other Medical expenses,02 - Other Employee Benefits & Costs
564000,01. Total Employee Costs,04. Other Employee Costs,Dental Insurance Expense,02 - Other Employee Benefits & Costs
564023,01. Total Employee Costs,04. Other Employee Costs,GROUP DENTAL,02 - Other Employee Benefits & Costs
565500,01. Total Employee Costs,04. Other Employee Costs,Group Life Insurance Expense,02 - Other Employee Benefits & Costs
565522,01. Total Employee Costs,04. Other Employee Costs,GROUP LIFE INSURANCE,02 - Other Employee Benefits & Costs
566500,01. Total Employee Costs,04. Other Employee Costs,AD & D (Accidental Death & D,02 - Other Employee Benefits & Costs
566525,01. Total Employee Costs,04. Other Employee Costs,ACCIDENT INSURANCE,02 - Other Employee Benefits & Costs
567500,01. Total Employee Costs,04. Other Employee Costs,Long-Term Disability Insuran,02 - Other Employee Benefits & Costs
567524,01. Total Employee Costs,04. Other Employee Costs,GROUP L/T DISABILITY,02 - Other Employee Benefits & Costs
568500,01. Total Employee Costs,04. Other Employee Costs,Survivors Insurance Expensen,02 - Other Employee Benefits & Costs
568526,01. Total Employee Costs,04. Other Employee Costs,SURVIVORS INCOME,02 - Other Employee Benefits & Costs
571500,01. Total Employee Costs,04. Other Employee Costs,Other Employee Benefit Costs,02 - Other Employee Benefits & Costs
572500,01. Total Employee Costs,04. Other Employee Costs,Vacation Payee Benefit Costs,02 - Other Employee Benefits & Costs
572502,01. Total Employee Costs,04. Other Employee Costs,Vacation Paid Benefit Cost,02 - Other Employee Benefits & Costs
575500,01. Total Employee Costs,04. Other Employee Costs,Local Support Costs,02 - Other Employee Benefits & Costs
577500,01. Total Employee Costs,04. Other Employee Costs,Other Local Support Costs,02 - Other Employee Benefits & Costs
577501,01. Total Employee Costs,04. Other Employee Costs,Preaviso y Cesantia,02 - Other Employee Benefits & Costs
577502,01. Total Employee Costs,04. Other Employee Costs,Aguinaldo,02 - Other Employee Benefits & Costs
577505,01. Total Employee Costs,04. Other Employee Costs,Other local benefits,02 - Other Employee Benefits & Costs
577506,01. Total Employee Costs,04. Other Employee Costs,13th Month Bonus,02 - Other Employee Benefits & Costs
577507,01. Total Employee Costs,04. Other Employee Costs,Car Plan,NO IDENTIFICADO
579500,01. Total Employee Costs,04. Other Employee Costs,Foreign Support Payments,02 - Other Employee Benefits & Costs
580000,01. Total Employee Costs,04. Other Employee Costs,Foreign Support Payments - H,02 - Other Employee Benefits & Costs
580500,01. Total Employee Costs,04. Other Employee Costs,Foreign Support Payments - S,02 - Other Employee Benefits & Costs
581000,01. Total Employee Costs,04. Other Employee Costs,Foreign Support Payments - H,02 - Other Employee Benefits & Costs
581500,01. Total Employee Costs,04. Other Employee Costs,Foreign Support Payments - T,02 - Other Employee Benefits & Costs
581524,01. Total Employee Costs,04. Other Employee Costs,TAX PREPARATION,02 - Other Employee Benefits & Costs
582000,01. Total Employee Costs,04. Other Employee Costs,Foreign Support Payments - P,02 - Other Employee Benefits & Costs
582047,01. Total Employee Costs,04. Other Employee Costs,MANAGEMENT FEES-HOUSING,02 - Other Employee Benefits & Costs
582500,01. Total Employee Costs,04. Other Employee Costs,Foreign Support Payments - S,02 - Other Employee Benefits & Costs
582530,01. Total Employee Costs,04. Other Employee Costs,WAREHOUSING & STORAGE,02 - Other Employee Benefits & Costs
583000,01. Total Employee Costs,04. Other Employee Costs,Other Foreign Support Paymen,02 - Other Employee Benefits & Costs
583006,01. Total Employee Costs,04. Other Employee Costs,BANK CHARGES,02 - Other Employee Benefits & Costs
583055,01. Total Employee Costs,04. Other Employee Costs,VOLUNTARY EE'S ALLOW,02 - Other Employee Benefits & Costs
583063,01. Total Employee Costs,04. Other Employee Costs,M & R-APPLIANCES,02 - Other Employee Benefits & Costs
583064,01. Total Employee Costs,04. Other Employee Costs,M & R-HOUSES,02 - Other Employee Benefits & Costs
583077,01. Total Employee Costs,04. Other Employee Costs,DEPRECIATION APPLIANCES,02 - Other Employee Benefits & Costs
584000,01. Total Employee Costs,04. Other Employee Costs,Miscellaneous Employee Benef,02 - Other Employee Benefits & Costs
584002,01. Total Employee Costs,04. Other Employee Costs,L.TERM/EXECUTIVE INCENTIVE,02 - Other Employee Benefits & Costs
584003,01. Total Employee Costs,04. Other Employee Costs,BONUS $,02 - Other Employee Benefits & Costs
584004,01. Total Employee Costs,04. Other Employee Costs,LOCAL MERIT,02 - Other Employee Benefits & Costs
586000,01. Total Employee Costs,04. Other Employee Costs,Other Personnel Costs,02 - Other Employee Benefits & Costs
587000,01. Total Employee Costs,04. Other Employee Costs,"Training, Certification, Con",04 - Training Expenses
587002,01. Total Employee Costs,04. Other Employee Costs,TUITION REFUND,04 - Training Expenses
587003,01. Total Employee Costs,04. Other Employee Costs,Education and Training,04 - Training Expenses
590000,01. Total Employee Costs,04. Other Employee Costs,Recruitment Costs,02 - Other Employee Benefits & Costs
590002,01. Total Employee Costs,04. Other Employee Costs,RECRUITING EXPENSES,02 - Other Employee Benefits & Costs
591000,01. Total Employee Costs,04. Other Employee Costs,Miscellaneous Personnel Cost,02 - Other Employee Benefits & Costs
591002,01. Total Employee Costs,04. Other Employee Costs,Repatriation expenses,02 - Other Employee Benefits & Costs
591006,01. Total Employee Costs,04. Other Employee Costs,EMPLOYEE PHYSICALS,02 - Other Employee Benefits & Costs
591099,01. Total Employee Costs,04. Other Employee Costs,OTHER PERSONAL COST,02 - Other Employee Benefits & Costs
592000,01. Total Employee Costs,04. Other Employee Costs,Workers' Compensation/Medica,02 - Other Employee Benefits & Costs
596000,01. Total Employee Costs,04. Other Employee Costs,Insured  Workers' Compensati,02 - Other Employee Benefits & Costs
596073,01. Total Employee Costs,04. Other Employee Costs,W/C INSURANCE,02 - Other Employee Benefits & Costs
781032,01. Total Employee Costs,04. Other Employee Costs,EMPLOYEE RECREATION,02 - Other Employee Benefits & Costs
584001,01. Total Employee Costs,04. Other Employee Costs,Misc. Employee Benef Cost,02 - Other Employee Benefits & Costs
584009,01. Total Employee Costs,04. Other Employee Costs,Misc. Employee Benef Cost,02 - Other Employee Benefits & Costs
560002,01. Total Employee Costs,04. Other Employee Costs,Profit Sharing,02 - Other Employee Benefits & Costs
781033,01. Total Employee Costs,04. Other Employee Costs,Motivational Expenses,02 - Other Employee Benefits & Costs
585006,01. Total Employee Costs,04. Other Employee Costs,Temporary Services Students,02 - Other Employee Benefits & Costs
587012,01. Total Employee Costs,04. Other Employee Costs,Education and Training Provision,04 - Training Expenses
587004,01. Total Employee Costs,04. Other Employee Costs,Training Succession Planning,04 - Training Expenses
587006,01. Total Employee Costs,04. Other Employee Costs,FACE Project,04 - Training Expenses
559007,01. Total Employee Costs,04. Other Employee Costs,GRSP NEW 2010,02 - Other Employee Benefits & Costs
559008,01. Total Employee Costs,04. Other Employee Costs,BN VITAL,02 - Other Employee Benefits & Costs
559009,01. Total Employee Costs,04. Other Employee Costs,BN VITAL BASICO,02 - Other Employee Benefits & Costs
559012,01. Total Employee Costs,04. Other Employee Costs,BN VITAL Bono,02 - Other Employee Benefits & Costs
559010,01. Total Employee Costs,04. Other Employee Costs,BN VITAL Not Deductible,NO IDENTIFICADO
545008,01. Total Employee Costs,04. Other Employee Costs,Oncall Benefit,02 - Other Employee Benefits & Costs
563517,01. Total Employee Costs,04. Other Employee Costs,Medical Expense SFCR,02 - Other Employee Benefits & Costs
563518,01. Total Employee Costs,04. Other Employee Costs,IME Medical,NO IDENTIFICADO
563519,01. Total Employee Costs,04. Other Employee Costs,Beneficio de Maternidad,02 - Other Employee Benefits & Costs
563520,01. Total Employee Costs,04. Other Employee Costs,Emergencias medica,02 - Other Employee Benefits & Costs
563521,01. Total Employee Costs,04. Other Employee Costs,Responsabilidad Civil,02 - Other Employee Benefits & Costs
563522,01. Total Employee Costs,04. Other Employee Costs,Riesgos del Trabajador,02 - Other Employee Benefits & Costs
565523,01. Total Employee Costs,04. Other Employee Costs,TOTAL PERMANENT DISABILITY,02 - Other Employee Benefits & Costs
563524,01. Total Employee Costs,04. Other Employee Costs,PROSALUD GROUP MEDICAL,02 - Other Employee Benefits & Costs
580506,01. Total Employee Costs,04. Other Employee Costs,FED & STATE UEMPLOY,NO IDENTIFICADO
591030,01. Total Employee Costs,04. Other Employee Costs,Due & 8. Subscriptions,02 - Other Employee Benefits & Costs
565524,01. Total Employee Costs,04. Other Employee Costs,Medical Insurance Expense,02 - Other Employee Benefits & Costs
577503,01. Total Employee Costs,04. Other Employee Costs,Aguinaldo Allocation,02 - Other Employee Benefits & Costs
572503,01. Total Employee Costs,04. Other Employee Costs,Accrued Vacation,02 - Other Employee Benefits & Costs
589001,01. Total Employee Costs,04. Other Employee Costs,Reloaction Cost,02 - Other Employee Benefits & Costs
572504,01. Total Employee Costs,04. Other Employee Costs,Accrued Vacation,02 - Other Employee Benefits & Costs
554003,01. Total Employee Costs,04. Other Employee Costs,SERP DFFI Adm,02 - Other Employee Benefits & Costs
587007,01. Total Employee Costs,04. Other Employee Costs,16. Training Expenses - Beca,04 - Training Expenses
584005,01. Total Employee Costs,04. Other Employee Costs,Bonus Adj,02 - Other Employee Benefits & Costs
557003,01. Total Employee Costs,04. Other Employee Costs,Enhanced Severance,02 - Other Employee Benefits & Costs
569501,01. Total Employee Costs,04. Other Employee Costs,Insurance Travel Expense,02 - Other Employee Benefits & Costs
563526,01. Total Employee Costs,04. Other Employee Costs,ADISA MEDICAL,02 - Other Employee Benefits & Costs
563527,01. Total Employee Costs,04. Other Employee Costs,Gastos Medicos no Deducibles,NO IDENTIFICADO
587008,01. Total Employee Costs,04. Other Employee Costs,Capacitacion y Entretenimiento,04 - Training Expenses
577001,01. Total Employee Costs,04. Other Employee Costs,Ayuda a Hijos,02 - Other Employee Benefits & Costs
584013,01. Total Employee Costs,04. Other Employee Costs,Bonus Long Term,02 - Other Employee Benefits & Costs
562502,01. Total Employee Costs,04. Other Employee Costs,Vacation Accrual,NO IDENTIFICADO
545009,01. Total Employee Costs,04. Other Employee Costs,Licencia por maternidad,02 - Other Employee Benefits & Costs
549025,01. Total Employee Costs,04. Other Employee Costs,Social Charges Bonus,02 - Other Employee Benefits & Costs
556000,01. Total Employee Costs,04. Other Employee Costs,PENSION COST - LOCAL,02 - Other Employee Benefits & Costs
569500,01. Total Employee Costs,04. Other Employee Costs,Other Insurance Expense,NO IDENTIFICADO
585000,01. Total Employee Costs,04. Other Employee Costs,Contract Labor and Temporary,02 - Other Employee Benefits & Costs
589000,01. Total Employee Costs,04. Other Employee Costs,Reloaction Cost,NO IDENTIFICADO
587009,01. Total Employee Costs,04. Other Employee Costs,Scholarship Expenses not deductible,NO IDENTIFICADO
591001,01. Total Employee Costs,04. Other Employee Costs,Other Employee Benefits,02 - Other Employee Benefits & Costs
549018,01. Total Employee Costs,05. IME'S Cost,CR INCOME TAX,02 - Other Employee Benefits & Costs
580028,01. Total Employee Costs,05. IME'S Cost,HOUSING ALLOWANCE,02 - Other Employee Benefits & Costs
580529,01. Total Employee Costs,05. IME'S Cost,SCHOOL TUITION,02 - Other Employee Benefits & Costs
581027,01. Total Employee Costs,05. IME'S Cost,Home Leave,02 - Other Employee Benefits & Costs
583046,01. Total Employee Costs,05. IME'S Cost,SECURITY SERVICES,02 - Other Employee Benefits & Costs
583050,01. Total Employee Costs,05. IME'S Cost,RELOCATION & MOVING,02 - Other Employee Benefits & Costs
583078,01. Total Employee Costs,05. IME'S Cost,AMORTIZE IME CAR/HHG,02 - Other Employee Benefits & Costs
782076,01. Total Employee Costs,05. IME'S Cost,IMES costs allocation,02 - Other Employee Benefits & Costs
549019,01. Total Employee Costs,05. IME'S Cost,CR INCOME TAX,02 - Other Employee Benefits & Costs
580027,01. Total Employee Costs,05. IME'S Cost,CAR ALLOWANCE,02 - Other Employee Benefits & Costs
549022,01. Total Employee Costs,05. IME'S Cost,Foreign Tax,02 - Other Employee Benefits & Costs
549023,01. Total Employee Costs,05. IME'S Cost,CCSS NO DEDUCIBLE,NO IDENTIFICADO
549024,01. Total Employee Costs,05. IME'S Cost,ISR no deducible,02 - Other Employee Benefits & Costs
580029,01. Total Employee Costs,05. IME'S Cost,Special Allowance,NO IDENTIFICADO
750000,02. Total Overhead Costs,06. Depreciation Expenses,Amortization and Depreciatio,24 - Depreciation Expenses
750100,02. Total Overhead Costs,06. Depreciation Expenses,Amortization Exp,24 - Depreciation Expenses
751500,02. Total Overhead Costs,06. Depreciation Expenses,Amort Exp-Other,24 - Depreciation Expenses
751505,02. Total Overhead Costs,06. Depreciation Expenses,Amort Exp-Computer Software,24 - Depreciation Expenses
752000,02. Total Overhead Costs,06. Depreciation Expenses,Depreciation Expense,24 - Depreciation Expenses
752600,02. Total Overhead Costs,06. Depreciation Expenses,Depreciation Expense - Lease,24 - Depreciation Expenses
752603,02. Total Overhead Costs,06. Depreciation Expenses,Dep Mej Propiedad,NO IDENTIFICADO
752614,02. Total Overhead Costs,06. Depreciation Expenses,DEPR L/H IMPROVEMENT,24 - Depreciation Expenses
752700,02. Total Overhead Costs,06. Depreciation Expenses,Depr Exp-Vessels & Cont,24 - Depreciation Expenses
752705,02. Total Overhead Costs,06. Depreciation Expenses,Cont Deprec Exp,24 - Depreciation Expenses
753000,02. Total Overhead Costs,06. Depreciation Expenses,Depreciation Expense - Machi,24 - Depreciation Expenses
753010,02. Total Overhead Costs,06. Depreciation Expenses,Depr White Goods,24 - Depreciation Expenses
753013,02. Total Overhead Costs,06. Depreciation Expenses,Depr Machinery and Equipme,24 - Depreciation Expenses
753016,02. Total Overhead Costs,06. Depreciation Expenses,DEPR CARS,24 - Depreciation Expenses
753019,02. Total Overhead Costs,06. Depreciation Expenses,DEPR OFFICE EQUIP,24 - Depreciation Expenses
753200,02. Total Overhead Costs,06. Depreciation Expenses,Depreciation Expense - Commu,24 - Depreciation Expenses
753205,02. Total Overhead Costs,06. Depreciation Expenses,DEPR COMPUTER SOFTWARE,24 - Depreciation Expenses
753215,02. Total Overhead Costs,06. Depreciation Expenses,DEPR COMPUTERS,24 - Depreciation Expenses
753216,02. Total Overhead Costs,06. Depreciation Expenses,DEP Comp HARD,NO IDENTIFICADO
753500,02. Total Overhead Costs,06. Depreciation Expenses,Depreciation Expense - Other,24 - Depreciation Expenses
753510,02. Total Overhead Costs,06. Depreciation Expenses,DEPRECIATION EXPENSE,24 - Depreciation Expenses
785089,02. Total Overhead Costs,06. Depreciation Expenses,Divisions AS/400 depreciation,24 - Depreciation Expenses
753210,02. Total Overhead Costs,06. Depreciation Expenses,Depr. Sis. Comunic. E IN.,24 - Depreciation Expenses
752610,02. Total Overhead Costs,06. Depreciation Expenses,DEPR L/H IMPROVEMENT,24 - Depreciation Expenses
753230,02. Total Overhead Costs,06. Depreciation Expenses,DEPR.SIS.COM.E INF.TRASP,24 - Depreciation Expenses
752501,02. Total Overhead Costs,06. Depreciation Expenses,Depreciation Buildings,24 - Depreciation Expenses
753030,02. Total Overhead Costs,06. Depreciation Expenses,DEPR Maquinaria y Equipos,24 - Depreciation Expenses
753202,02. Total Overhead Costs,06. Depreciation Expenses,Dep AS/400 Capital Leases,24 - Depreciation Expenses
753232,02. Total Overhead Costs,06. Depreciation Expenses,DEPR.EQCOMPUT.OUTS,24 - Depreciation Expenses
753031,02. Total Overhead Costs,06. Depreciation Expenses,DEPR Maquinaria y Equipos (exonerado),24 - Depreciation Expenses
646003,02. Total Overhead Costs,06. Depreciation Expenses,Software amortization,24 - Depreciation Expenses
753211,02. Total Overhead Costs,06. Depreciation Expenses,Depr. Sis. Comunic. Inform,24 - Depreciation Expenses
753233,02. Total Overhead Costs,06. Depreciation Expenses,DEPR.EQCOMPUT.EXON,24 - Depreciation Expenses
753203,02. Total Overhead Costs,06. Depreciation Expenses,Capital Lease Depreciation,24 - Depreciation Expenses
752630,02. Total Overhead Costs,06. Depreciation Expenses,DEPR MEJORES PROPIEDAD ALQUILADA,24 - Depreciation Expenses
753501,02. Total Overhead Costs,06. Depreciation Expenses,Depreciation Expense - Capital Lease,24 - Depreciation Expenses
753225,02. Total Overhead Costs,06. Depreciation Expenses,DEPRECIATION EXPENSE,24 - Depreciation Expenses
753508,02. Total Overhead Costs,06. Depreciation Expenses,DEPR 2,24 - Depreciation Expenses
753221,02. Total Overhead Costs,06. Depreciation Expenses,DEPRECIATION EXPENSE,24 - Depreciation Expenses
753222,02. Total Overhead Costs,06. Depreciation Expenses,DEPRECIATION EXPENSE,24 - Depreciation Expenses
753212,02. Total Overhead Costs,06. Depreciation Expenses,Dep. Comp. Hard. DP,24 - Depreciation Expenses
753226,02. Total Overhead Costs,06. Depreciation Expenses,Dep. Comp. Hard. FP,24 - Depreciation Expenses
753213,02. Total Overhead Costs,06. Depreciation Expenses,Dep.Soft.DP,24 - Depreciation Expenses
753227,02. Total Overhead Costs,06. Depreciation Expenses,DEP.COMP.soft NE FP,24 - Depreciation Expenses
753023,02. Total Overhead Costs,06. Depreciation Expenses,DEP OTRA M&E DP NE,24 - Depreciation Expenses
753022,02. Total Overhead Costs,06. Depreciation Expenses,DEP Mobiliario DP NE,NO IDENTIFICADO
752502,02. Total Overhead Costs,06. Depreciation Expenses,Gto Dep.Mejoras Edificio,24 - Depreciation Expenses
753228,02. Total Overhead Costs,06. Depreciation Expenses,DEP.SOFT.BI DP NE,24 - Depreciation Expenses
752503,02. Total Overhead Costs,06. Depreciation Expenses,Dep. on Improvement Expenses,NO IDENTIFICADO
752504,02. Total Overhead Costs,06. Depreciation Expenses,DBS Mejoras Edificio,NO IDENTIFICADO
753320,02. Total Overhead Costs,06. Depreciation Expenses,Deprec.Expeses Lease,24 - Depreciation Expenses
753401,02. Total Overhead Costs,06. Depreciation Expenses,Depr Exp-Computer So,24 - Depreciation Expenses
753402,02. Total Overhead Costs,06. Depreciation Expenses,Depr Soft BI  DP NE,NO IDENTIFICADO
753416,02. Total Overhead Costs,06. Depreciation Expenses,Dep Software,NO IDENTIFICADO
753305,02. Total Overhead Costs,06. Depreciation Expenses,DEPREC EXP-ROU ASS,NO IDENTIFICADO
600000,02. Total Overhead Costs,07. Total Materials,Material Costs,27 - Other Expenses
601000,02. Total Overhead Costs,07. Total Materials,Raw Materials,27 - Other Expenses
606000,02. Total Overhead Costs,07. Total Materials,Malt,27 - Other Expenses
606082,02. Total Overhead Costs,07. Total Materials,LUBRICANTS,27 - Other Expenses
631000,02. Total Overhead Costs,07. Total Materials,"Fuel, Oil and Lubricants Exp",09 - Gasoline
635000,02. Total Overhead Costs,07. Total Materials,Other Fuel Expense,09 - Gasoline
635080,02. Total Overhead Costs,07. Total Materials,JET FUEL,09 - Gasoline
637000,02. Total Overhead Costs,07. Total Materials,Office Supplies Expense,06 - Office Supplies
637020,02. Total Overhead Costs,07. Total Materials,OFFICE SUPPLIES QSMS,06 - Office Supplies
637021,02. Total Overhead Costs,07. Total Materials,SUPPLIES-MEDECINES,06 - Office Supplies
637022,02. Total Overhead Costs,07. Total Materials,Data Center Supplies,06 - Office Supplies
637026,02. Total Overhead Costs,07. Total Materials,Equipment purchase,06 - Office Supplies
637040,02. Total Overhead Costs,07. Total Materials,SUPPLIES-UNIFORMS,06 - Office Supplies
637050,02. Total Overhead Costs,07. Total Materials,SUPPLIES-TONNER,06 - Office Supplies
637060,02. Total Overhead Costs,07. Total Materials,Supplies Building Maintenance,06 - Office Supplies
637080,02. Total Overhead Costs,07. Total Materials,JET SUPPLIES,06 - Office Supplies
637090,02. Total Overhead Costs,07. Total Materials,New Building-Equipment,06 - Office Supplies
637501,02. Total Overhead Costs,07. Total Materials,PPE Non Cap,20 - Other Rentals
638000,02. Total Overhead Costs,07. Total Materials,Computer Hardware and Softwa,11 - Hardware Expense
641003,02. Total Overhead Costs,07. Total Materials,Hardware Expense - PC's,11 - Hardware Expense
642001,02. Total Overhead Costs,07. Total Materials,Hardware Expense - Network,11 - Hardware Expense
